m,Projective,Affine,Ruzsa
535,9.40605,8.43092,4.50212
536,10.0799,9.16606,4.77312
537,10.8099,8.00567,5.56045
538,11.4414,8.06415,6.10997
539,10.6545,8.44369,5.57053
540,10.3416,8.12031,4.64965
541,9.52658,8.79609,4.86103
542,9.98778,9.37067,5.43873
543,9.81335,8.84927,5.23797
544,9.03458,8.53665,5.39346
545,9.68514,9.02425,5.51877
546,10.1157,8.64537,6.45667
547,9.07157,8.38789,5.35621
548,8.4678,8.45297,5.30303
549,8.03882,8.74543,6.00645
550,8.78101,8.96026,6.22891
551,8.54724,9.69694,6.37811
552,9.1059,9.87824,6.33069
553,8.93199,9.84625,7.03572
554,9.6334,9.52319,7.2624
555,9.59831,10.3653,7.35778
556,9.02834,9.69789,5.34857
557,9.28201,8.6078,4.98007
558,9.88322,7.97182,5.16639
559,9.69772,7.52561,5.70984
560,10.2164,8.01268,5.55433
561,10.6047,7.86439,5.9964
562,9.7573,8.232,6.64156
563,10.2577,8.25231,6.74376
564,9.91427,9.04324,7.35379
565,8.84894,9.75051,6.98387
566,9.17417,9.62333,7.24424
567,9.32447,8.35253,5.82356
568,9.60856,8.4618,6.05872
569,10.3319,9.22415,6.06128
570,9.08735,8.42543,5.85374
571,9.49221,8.16788,4.42432
572,9.40779,8.20482,4.94621
573,8.53654,8.80766,5.69144
574,8.65763,9.08762,5.25665
575,8.94612,9.10955,5.78212
576,9.66264,8.32756,6.25269
577,9.11093,7.84536,4.23914
578,8.41857,7.1191,4.72956
579,7.91507,7.47047,4.73612
580,8.57021,7.95717,5.47585
581,9.43286,8.41987,5.96783
582,9.87676,8.027,5.87154
583,9.49586,8.48803,6.31031
584,9.49413,9.09392,6.20159
585,9.95131,9.40118,6.2237
586,10.634,10.1059,6.06897
587,10.6355,9.06315,6.31248
588,9.038,9.02591,6.80984
589,9.43723,9.62447,6.19128
590,9.50108,10.0216,6.63991
591,9.87867,8.84023,7.13957
592,9.84452,8.63648,5.675
593,9.08562,8.92552,5.81093
594,9.81852,9.45659,6.52149
595,9.90428,9.1903,7.21773
596,9.90871,9.52749,7.89882
597,8.98384,8.48237,7.55959
598,8.93124,9.13329,5.63525
599,9.90918,9.73945,6.42764
600,9.08376,9.68483,5.96465
601,9.30667,9.1512,6.45059
602,10.1318,9.21842,7.22525
603,10.7399,9.71845,7.89833
604,11.1476,10.4261,6.9196
605,11.5811,8.86075,5.75881
606,12.4067,8.89113,5.70757
607,12.0613,9.60064,5.42207
608,12.0235,8.86646,5.76832
609,11.6266,8.6501,5.27821
610,9.51686,8.33564,6.05381
611,9.66648,8.78243,6.23724
612,9.99336,8.30306,5.9571
613,10.3567,8.57796,5.92752
614,10.8184,9.23476,5.70731
615,10.8055,10.0504,5.3624
616,10.5357,10.7075,5.98443
617,10.0692,10.7641,6.68287
618,9.50431,8.60686,7.02455
619,9.92858,8.53788,3.68138
620,8.72428,8.18712,3.51156
621,8.88563,8.57858,4.33315
622,9.43082,8.71377,4.6241
623,9.42604,8.60436,4.63765
624,9.3196,8.93171,4.68506
625,9.1104,8.68433,4.95081
626,9.35505,8.39819,5.18924
627,9.82093,8.64897,5.56376
628,9.10744,9.05897,5.11799
629,9.02661,9.15728,5.91333
630,9.2134,9.34873,6.27089
631,9.90822,7.98796,4.67421
632,9.1212,7.863,4.98246
633,9.21077,7.9552,5.4253
634,8.67688,8.55456,6.09475
635,8.90815,8.82431,5.86567
636,9.03349,8.95455,6.52006
637,9.11785,9.73052,6.22667
638,9.56703,9.12561,5.29391
639,10.3872,9.29134,5.60439
640,10.1564,10.0952,6.24295
641,10.4479,9.99921,5.37039
642,9.64251,10.8693,6.03852
643,8.99448,10.5136,5.18968
644,9.33237,9.87146,5.90675
645,9.7835,9.59777,4.87033
646,9.5379,10.298,5.01638
647,9.42569,10.0691,4.91356
648,9.36943,10.8446,5.33913
649,9.64016,11.1285,5.15607
650,9.88439,9.8383,6.066
651,9.91888,10.1256,5.98992
652,9.17654,8.76832,5.77249
653,9.59422,8.85095,6.32234
654,9.3978,8.48703,5.7917
655,9.11843,9.10682,5.57949
656,9.26358,9.59765,5.86078
657,9.17904,9.20682,5.4457
658,9.38532,8.28776,5.97853
659,9.67805,8.69238,5.11163
660,9.58475,8.26002,4.58258
661,9.05828,7.62492,4.49943
662,8.77799,7.53915,5.39966
663,8.94878,7.79698,5.65002
664,9.42457,8.68176,5.31798
665,9.37053,8.04642,4.32156
666,9.38444,8.41198,4.73606
667,9.58689,7.94158,5.1609
668,10.0692,8.18184,4.92459
669,10.3286,8.92273,4.67704
670,9.53653,9.44039,5.39485
671,9.95235,9.7663,5.47765
672,10.6257,9.21044,4.69722
673,10.2391,9.14158,4.7478
674,10.415,8.87294,5.05381
675,9.81581,9.69406,5.12986
676,10.4175,9.60222,5.05738
677,9.97002,8.6483,5.64391
678,10.0569,8.22989,5.96726
679,9.80571,8.66053,6.03715
680,9.4204,8.74297,6.0779
681,9.6171,8.37455,6.28599
682,9.21474,8.82915,6.94
683,9.5967,8.30674,4.92405
684,8.96667,8.50019,4.79385
685,9.05917,8.67611,4.98088
686,8.86117,9.12852,4.96109
687,9.17185,9.28841,5.37914
688,9.05302,9.17896,5.13837
689,9.43175,9.2015,5.02485
690,9.40026,8.34026,5.98977
691,9.92218,8.56978,5.39224
692,9.96188,8.44166,5.37419
693,10.1362,8.58273,5.70385
694,10.2208,8.51769,5.97456
695,10.5966,9.15016,5.54007
696,10.6833,8.69075,6.42767
697,11.3164,8.32664,6.40388
698,11.4048,8.88463,6.15392
699,9.77797,8.82176,6.46625
700,9.70876,9.04631,5.84368
701,9.27318,9.28329,5.14154
702,9.05628,8.66386,5.84484
703,9.18302,9.30698,5.60556
704,9.49802,9.95389,5.78943
705,10.3152,10.1432,6.04006
706,9.91021,9.64951,5.50517
707,9.51237,9.62636,4.76001
708,9.08227,8.60598,5.24827
709,9.66961,8.25397,4.37315
710,10.0036,8.24221,4.22525
711,9.9786,8.60908,4.74438
712,10.1588,9.02489,5.02263
713,9.79804,8.82957,5.95474
714,9.37102,9.23124,5.82982
715,9.64831,9.49522,6.01622
716,9.41313,9.72243,5.91479
717,9.68819,10.0092,6.34115
718,9.96822,10.1787,5.53807
719,9.13029,8.75356,5.86958
720,9.70851,8.5578,5.20912
721,8.97683,8.9052,5.80143
722,9.30862,8.63193,6.21092
723,9.27386,8.98109,6.31876
724,9.79135,9.61145,5.73821
725,10.6814,9.39187,5.92212
726,9.71793,10.2431,6.49948
727,9.27861,9.79849,5.82249
728,9.35266,8.99235,5.10374
729,9.68157,9.34661,5.17129
730,9.40094,9.49948,5.45256
731,9.63186,10.2351,5.25555
732,9.74797,10.878,4.90441
733,10.3023,9.01657,4.93338
734,10.2604,9.65202,5.65873
735,10.1573,9.40645,5.92456
736,10.4995,10.3575,5.75415
737,9.56615,9.45413,5.91724
738,9.36292,8.72433,5.82038
739,9.52142,9.29115,6.03684
740,9.95206,9.20249,6.81926
741,10.0664,8.82311,6.92984
742,10.1599,9.48379,7.02177
743,9.49335,9.08652,6.72899
744,9.25855,9.32252,5.8828
745,8.97894,9.28606,6.66674
746,9.10177,9.12484,6.37983
747,9.3063,8.83877,5.18533
748,9.76088,9.0115,5.07537
749,9.69357,8.74261,5.54052
750,9.71087,8.37745,5.84209
751,10.5771,8.92184,6.07047
752,9.54327,8.93204,5.97453
753,9.50219,9.76585,5.30153
754,9.65196,9.79102,4.63093
755,9.54712,9.33721,5.17935
756,9.73396,9.95577,5.63476
757,10.1011,10.4828,6.54747
758,10.8648,10.4821,6.75037
759,10.0287,11.01,6.67959
760,10.5002,11.1869,5.73281
761,9.38507,9.30658,5.37575
762,9.24838,9.28956,5.36601
763,9.45571,10.0239,5.48498
764,9.62476,9.88794,6.12006
765,9.31223,9.6193,5.36588
766,9.32239,9.25632,5.5166
767,9.95377,9.2573,5.2717
768,9.66762,9.17393,5.90617
769,9.66872,9.48831,5.49689
770,9.28455,10.1119,5.35695
771,9.44567,9.86532,5.75559
772,10.3853,10.2559,5.92429
773,9.43599,9.38295,3.94278
774,9.02222,9.01569,4.09676
775,8.07758,9.6491,4.27826
776,8.07227,9.50408,4.49433
777,8.71555,9.8201,4.7086
778,9.3655,9.42079,5.19601
779,9.19808,9.59309,5.35861
780,9.43592,9.47096,5.04968
781,10.0499,9.07513,5.6762
782,10.1127,9.47039,5.27933
783,10.1863,9.85318,5.95367
784,10.9418,10.1021,6.34326
785,10.8514,9.41957,5.39818
786,11.373,8.83464,5.21834
787,9.70855,8.90553,5.17713
788,9.73783,7.90193,4.80718
789,9.07757,8.32593,5.31192
790,9.55141,8.84317,5.64931
791,9.97887,9.80732,5.84142
792,9.42476,10.1727,5.58535
793,9.69418,9.84931,5.85325
794,9.43324,9.37015,5.71071
795,9.76437,9.54981,5.54702
796,9.74432,9.88868,6.07975
797,9.62398,9.13009,6.32813
798,9.99239,10.1155,6.38267
799,9.62746,9.16711,6.74373
800,9.72979,9.28893,5.19499
801,9.43888,9.48879,5.45428
802,9.50584,8.92939,6.27643
803,9.69552,9.29477,5.82624
804,10.2771,9.52344,5.64356
805,10.5455,8.46814,6.02003
806,9.95415,8.6381,5.96188
807,10.2773,8.99373,6.4046
808,10.9918,8.9418,5.5662
809,11.9454,8.72442,5.37011
810,12.5089,8.08105,5.8775
811,11.664,8.94514,5.28479
812,10.721,9.13824,5.13384
813,9.5991,9.66508,6.00682
814,9.79915,9.40072,6.32247
815,9.60755,10.0304,5.59096
816,9.4363,10.6585,5.86297
817,9.55774,9.4983,5.60429
818,9.68942,9.87872,6.09545
819,10.1477,9.21361,6.4337
820,10.4501,9.69018,7.12424
821,10.2682,9.96239,6.47437
822,10.5704,10.1275,6.47992
823,10.3137,10.6054,6.83825
824,10.0921,9.96007,7.32503
825,9.93436,10.1141,6.47572
826,10.0956,10.0043,6.98474
827,10.2699,10.2259,6.91342
828,9.52581,10.3418,7.42337
